"Anno","Provincia","Euro","AL","BE","BG","BM","EL","GA","GG","IB","IG","ME","ND","Totale"
"2020","AOSTA","ND","0","8","1","0","0","2","0","0","0","0","0","11"
"2020","Totale Provincia","","1","86.700","3.044","334","254","128.055","0","3.135","113","84","1","221.721"
"2020","VARESE","EURO 0","8","28.427","717","55","0","3.610","0","0","0","6","20","32.843"
"2020","VARESE","EURO 1","0","7.567","211","26","0","927","0","0","0","0","0","8.731"
"2020","VARESE","EURO 2","0","26.178","507","64","0","4.739","0","0","0","4","1","31.493"
"2020","VARESE","EURO 3","0","34.111","473","67","0","19.443","0","0","2","11","1","54.108"
"2020","VARESE","EURO 4","0","94.957","8.035","1.060","0","42.740","0","151","0","83","1","147.027"
"2020","VARESE","EURO 5","0","64.169","4.152","763","0","53.630","0","1.418","56","177","0","124.365"
"2020","VARESE","EURO 6","0","116.392","5.100","581","0","60.280","0","14.011","589","404","0","197.357"
"2020","VARESE","NC","0","0","0","0","865","0","0","0","0","0","0","865"
"2020","VARESE","ND","0","158","0","0","0","2","0","0","0","0","2","162"
"2020","Totale Provincia","","8","371.959","19.195","2.616","865","185.371","0","15.580","647","685","25","596.951"
"2020","COMO","EURO 0","12","21.073","397","24","0","2.218","0","0","0","4","12","23.740"
"2020","COMO","EURO 1","0","4.987","129","7","0","514","0","0","0","0","0","5.637"
"2020","COMO","EURO 2","0","17.164","260","18","0","3.096","0","0","0","0","0","20.538"
"2020","COMO","EURO 3","0","22.276","256","35","0","12.362","0","0","0","3","0","34.932"
"2020","COMO","EURO 4","0","65.379","4.330","522","0","27.821","0","131","0","42","0","98.225"
"2020","COMO","EURO 5","0","46.890","2.195","527","0","35.695","0","1.037","37","121","0","86.502"
"2020","COMO","EURO 6","0","80.112","2.592","422","0","41.697","0","8.568","465","273","0","134.129"
"2020","COMO","NC","0","0","0","0","747","0","0","0","0","0","0","747"
"2020","COMO","ND","0","129","0","0","0","1","0","0","0","0","2","132"
"2020","Totale Provincia","","12","258.010","10.159","1.555","747","123.404","0","9.736","502","443","14","404.582"
"2020","SONDRIO","EURO 0","1","6.884","108","6","0","760","0","0","0","1","2","7.762"
"2020","SONDRIO","EURO 1","0","1.878","37","3","0","254","0","0","0","0","0","2.172"
"2020","SONDRIO","EURO 2","0","5.834","61","4","0","2.262","0","0","0","0","0","8.161"
"2020","SONDRIO","EURO 3","0","6.532","55","2","0","6.738","0","0","0","1","1","13.329"
"2020","SONDRIO","EURO 4","0","18.791","689","38","0","13.515","0","6","0","9","0","33.048"
"2020","SONDRIO","EURO 5","0","10.292","324","56","0","13.545","0","132","11","15","0","24.375"
"2020","SONDRIO","EURO 6","0","14.257","285","49","0","11.629","0","1.491","95","25","0","27.831"
"2020","SONDRIO","NC","0","0","0","0","170","0","0","0","0","0","0","170"
"2020","SONDRIO","ND","0","26","0","0","0","0","0","0","0","0","0","26"
"2020","Totale Provincia","","1","64.494","1.559","158","170","48.703","0","1.629","106","51","3","116.874"
"2020","MILANO","EURO 0","20","113.088","4.130","375","0","19.414","0","0","0","37","167","137.231"
"2020","MILANO","EURO 1","0","25.022","1.040","86","0","4.114","0","0","0","11","8","30.281"
"2020","MILANO","EURO 2","1","76.177","2.586","209","0","14.149","0","0","0","10","6","93.138"
"2020","MILANO","EURO 3","1","91.986","2.373","329","0","51.535","0","0","3","46","2","146.275"
"2020","MILANO","EURO 4","0","273.629","41.115","5.430","0","116.554","0","982","0","662","1","438.373"
"2020","MILANO","EURO 5","0","173.344","24.399","3.848","0","160.698","0","6.348","178","982","0","369.797"
"2020","MILANO","EURO 6","1","320.184","28.795","2.972","0","199.001","0","44.614","2.476","2.104","0","600.147"
"2020","MILANO","NC","0","0","0","0","3.741","0","0","0","0","0","0","3.741"
"2020","MILANO","ND","0","658","4","2","0","9","0","0","0","0","20","693"
"2020","Totale Provincia","","23","1.074.088","104.442","13.251","3.741","565.474","0","51.944","2.657","3.852","204","1.819.676"
"2020","BERGAMO","EURO 0","9","29.205","1.987","194","0","8.086","0","0","0","6","9","39.496"
"2020","BERGAMO","EURO 1","0","7.647","417","58","0","1.699","0","0","0","0","0","9.821"
"2020","BERGAMO","EURO 2","0","26.825","1.019","175","0","7.848","0","0","0","1","0","35.868"
"2020","BERGAMO","EURO 3","0","34.100","1.001","244","0","30.205","0","0","0","27","8","65.585"
"2020","BERGAMO","EURO 4","0","93.071","16.601","3.874","0","66.605","0","188","0","644","1","180.984"
"2020","BERGAMO","EURO 5","0","57.690","9.282","3.224","0","75.288","0","1.304","51","798","0","147.637"
"2020","BERGAMO","EURO 6","0","103.536","12.442","2.271","0","81.788","0","11.419","865","1.207","0","213.528"
"2020","BERGAMO","NC","0","0","0","0","1.077","0","0","0","0","0","0","1.077"
"2020","BERGAMO","ND","0","134","2","0","0","1","0","0","0","0","0","137"
"2020","Totale Provincia","","9","352.208","42.751","10.040","1.077","271.520","0","12.911","916","2.683","18","694.133"
"2020","BRESCIA","EURO 0","17","38.680","3.003","198","0","6.616","0","0","0","21","20","48.555"
"2020","BRESCIA","EURO 1","0","10.267","763","78","0","2.079","0","0","0","4","0","13.191"
"2020","BRESCIA","EURO 2","1","34.441","1.884","268","0","11.068","0","0","0","10","0","47.672"
"2020","BRESCIA","EURO 3","0","36.654","2.013","420","0","35.538","0","0","0","53","0","74.678"
"2020","BRESCIA","EURO 4","1","92.253","24.077","4.679","0","81.514","0","156","0","885","0","203.565"
"2020","BRESCIA","EURO 5","0","54.773","14.788","3.488","0","96.263","0","1.096","70","1.109","0","171.587"
"2020","BRESCIA","EURO 6","2","100.244","19.151","3.268","0","116.963","0","10.916","1.158","1.924","0","253.626"
"2020","BRESCIA","NC","0","0","0","0","1.437","0","0","0","0","0","0","1.437"
"2020","BRESCIA","ND","0","194","5","0","0","3","0","0","0","0","3","205"
"2020","Totale Provincia","","21","367.506","65.684","12.399","1.437","350.044","0","12.168","1.228","4.006","23","814.516"
"2020","PAVIA","EURO 0","5","20.152","1.235","222","0","3.108","0","0","0","11","9","24.742"
"2020","PAVIA","EURO 1","0","4.773","329","45","0","873","0","0","0","6","0","6.026"
"2020","PAVIA","EURO 2","0","16.064","733","137","0","4.587","0","0","0","4","0","21.525"
"2020","PAVIA","EURO 3","0","17.392","506","108","0","15.723","0","0","1","12","0","33.742"
"2020","PAVIA","EURO 4","6","43.994","7.125","1.462","0","31.091","0","40","0","128","0","83.846"
"2020","PAVIA","EURO 5","0","25.947","4.526","1.437","0","39.754","0","452","18","230","0","72.364"
"2020","PAVIA","EURO 6","0","49.687","6.755","905","0","48.815","0","5.036","318","437","0","111.953"
"2020","PAVIA","NC","0","0","0","0","286","0","0","0","0","0","0","286"
"2020","PAVIA","ND","0","191","9","0","0","4","0","0","0","0","1","205"
"2020","Totale Provincia","","11","178.200","21.218","4.316","286","143.955","0","5.528","337","828","10","354.689"
"2020","CREMONA","EURO 0","4","9.476","670","139","0","1.769","0","0","0","1","8","12.067"
"2020","CREMONA","EURO 1","0","2.525","189","38","0","518","0","0","0","0","0","3.270"
"2020","CREMONA","EURO 2","1","8.999","411","107","0","3.039","0","0","0","2","0","12.559"
"2020","CREMONA","EURO 3","0","9.831","313","93","0","11.407","0","0","0","11","0","21.655"
